timestamp,hashrate_in_phs,daily_reward,hoster,pool,miner
2023-02-23,0.0,0.0,acdc,foundry,S19XP
2023-02-22,0.0,0.0,acdc,foundry,S19XP
2023-02-21,0.0,0.0,acdc,foundry,S19XP
2023-02-20,0.0,0.0,acdc,foundry,S19XP
2023-02-19,0.0,0.0,acdc,foundry,S19XP
2023-02-18,0.0,0.0,acdc,foundry,S19XP
2023-02-17,0.0,0.0,acdc,foundry,S19XP
2023-02-16,0.0,0.0,acdc,foundry,S19XP
2023-02-15,0.0,0.0,acdc,foundry,S19XP
2023-02-14,0.0,0.0,acdc,foundry,S19XP
2023-02-13,0.0,0.0,acdc,foundry,S19XP
2023-02-12,0.0,0.0,acdc,foundry,S19XP
2023-02-11,0.0,0.0,acdc,foundry,S19XP
2023-02-10,0.0,0.0,acdc,foundry,S19XP
2023-02-09,0.0,0.0,acdc,foundry,S19XP
2023-02-08,0.0,0.0,acdc,foundry,S19XP
2023-02-07,0.0,0.0,acdc,foundry,S19XP
2023-02-06,0.0,0.0,acdc,foundry,S19XP
2023-02-05,0.0,0.0,acdc,foundry,S19XP
2023-02-04,0.0,0.0,acdc,foundry,S19XP
2023-02-03,0.0,0.0,acdc,foundry,S19XP
2023-02-02,0.0,0.0,acdc,foundry,S19XP
2023-02-01,0.0,0.0,acdc,foundry,S19XP
2023-01-31,0.0,0.0,acdc,foundry,S19XP
2023-01-30,0.0,0.0,acdc,foundry,S19XP
2023-01-29,0.0,0.0,acdc,foundry,S19XP
2023-01-28,0.0,0.0,acdc,foundry,S19XP
2023-01-27,0.0,0.0,acdc,foundry,S19XP
2023-01-26,0.0,0.0,acdc,foundry,S19XP
2023-01-25,0.0,0.0,acdc,foundry,S19XP
2023-01-24,0.0,0.0,acdc,foundry,S19XP
2023-01-23,0.0,0.0,acdc,foundry,S19XP
2023-01-22,0.0,0.0,acdc,foundry,S19XP
2023-01-21,0.0,0.0,acdc,foundry,S19XP
2023-01-20,0.0,0.0,acdc,foundry,S19XP
2023-01-19,0.0,0.0,acdc,foundry,S19XP
2023-01-18,13.769404,0.04690138,acdc,foundry,S19XP
2023-01-17,23.490064,0.07961044,acdc,foundry,S19XP
2023-01-16,23.502717,0.0794906,acdc,foundry,S19XP
2023-01-15,23.459845,0.08622561,acdc,foundry,S19XP
2023-01-14,23.479346,0.08772194999999999,acdc,foundry,S19XP
2023-01-13,23.523818,0.08820127000000001,acdc,foundry,S19XP
2023-01-12,23.484083,0.08811897,acdc,foundry,S19XP
2023-01-11,23.456245,0.08767024999999999,acdc,foundry,S19XP
2023-01-10,23.48077,0.08750646,acdc,foundry,S19XP
2023-01-09,23.48936,0.08761384,acdc,foundry,S19XP
2023-01-08,23.522877,0.08736151,acdc,foundry,S19XP
2023-01-07,23.525874,0.08751405,acdc,foundry,S19XP
2023-01-06,23.522111,0.08775855,acdc,foundry,S19XP
2023-01-05,23.533589,0.08804784,acdc,foundry,S19XP
2023-01-04,23.6425,0.08862882999999999,acdc,foundry,S19XP
2023-01-03,23.658558,0.08789287,acdc,foundry,S19XP
2023-01-02,23.682327,0.08495888,acdc,foundry,S19XP
2023-01-01,23.626847,0.08461619999999999,acdc,foundry,S19XP
2022-12-31,23.636809,0.08508466,acdc,foundry,S19XP
2022-12-30,23.821345,0.08656027,acdc,foundry,S19XP
2022-12-29,23.822022,0.08667199,acdc,foundry,S19XP
2022-12-28,23.823925,0.08636805,acdc,foundry,S19XP
2022-12-27,23.811897,0.08746733,acdc,foundry,S19XP
2022-12-26,23.837842,0.08659394000000001,acdc,foundry,S19XP
2022-12-25,23.814503,0.08598423000000001,acdc,foundry,S19XP
2022-12-24,23.805876,0.08731995999999999,acdc,foundry,S19XP
2022-12-23,23.845739,0.08656329,acdc,foundry,S19XP
2022-12-22,23.846078,0.08650093,acdc,foundry,S19XP
2022-12-21,23.822126,0.08625991000000001,acdc,foundry,S19XP
2022-12-20,23.834259,0.08648517,acdc,foundry,S19XP
2022-12-19,23.81075,0.08824266,acdc,foundry,S19XP
2022-12-18,23.797771,0.08849048,acdc,foundry,S19XP
2022-12-17,23.812757,0.0891958,acdc,foundry,S19XP
2022-12-16,23.819077,0.08923522,acdc,foundry,S19XP
2022-12-15,23.818347,0.08949746,acdc,foundry,S19XP
2022-12-14,23.841387,0.08896254,acdc,foundry,S19XP
2022-12-13,23.854288,0.08870414,acdc,foundry,S19XP
2022-12-12,23.846078,0.08878655,acdc,foundry,S19XP
2022-12-11,23.558376,0.08726644,acdc,foundry,S19XP
2022-12-10,23.476198,0.08729129000000001,acdc,foundry,S19XP
2022-12-09,23.470371,0.08741956000000001,acdc,foundry,S19XP
