timestamp,hashrate_in_phs,daily_reward,hoster,pool,miner
2023-02-23,0.506525,0.00165537,penguin,foundry,S19J
2023-02-22,0.504603,0.00165442,penguin,foundry,S19J
2023-02-21,0.499292,0.00162978,penguin,foundry,S19J
2023-02-20,0.501534,0.00164172,penguin,foundry,S19J
2023-02-19,0.506929,0.0016524500000000002,penguin,foundry,S19J
2023-02-18,0.503202,0.00164644,penguin,foundry,S19J
2023-02-17,0.4994,0.00164502,penguin,foundry,S19J
2023-02-16,0.503997,0.00166353,penguin,foundry,S19J
2023-02-15,0.404057,0.00134241,penguin,foundry,S19J
2023-02-14,0.305753,0.00100808,penguin,foundry,S19J
2023-02-13,0.202105,0.00066509,penguin,foundry,S19J
2023-02-12,0.32249,0.00105301,penguin,foundry,S19J
2023-02-11,0.406184,0.00132891,penguin,foundry,S19J
2023-02-10,0.40767,0.0013406100000000001,penguin,foundry,S19J
2023-02-09,0.404451,0.00131975,penguin,foundry,S19J
2023-02-08,0.404829,0.00132103,penguin,foundry,S19J
2023-02-07,0.407005,0.00133293,penguin,foundry,S19J
2023-02-06,0.434492,0.00141588,penguin,foundry,S19J
2023-02-05,0.489773,0.00158786,penguin,foundry,S19J
2023-02-04,0.49427,0.0016170400000000001,penguin,foundry,S19J
2023-02-03,0.344857,0.0011341,penguin,foundry,S19J
2023-02-02,0.459769,0.00150442,penguin,foundry,S19J
2023-02-01,0.504857,0.00165468,penguin,foundry,S19J
2023-01-31,0.067599,0.00022157,penguin,foundry,S19J
2023-01-30,0.0,0.0,penguin,foundry,S19J
2023-01-29,0.0,0.0,penguin,foundry,S19J
2023-01-28,0.0,0.0,penguin,foundry,S19J
2023-01-27,0.0,0.0,penguin,foundry,S19J
2023-01-26,0.0,0.0,penguin,foundry,S19J
2023-01-25,0.0,0.0,penguin,foundry,S19J
2023-01-24,0.0,0.0,penguin,foundry,S19J
2023-01-23,0.0,0.0,penguin,foundry,S19J
2023-01-22,0.0,0.0,penguin,foundry,S19J
2023-01-21,0.0,0.0,penguin,foundry,S19J
2023-01-20,0.0,0.0,penguin,foundry,S19J
2023-01-19,0.0,0.0,penguin,foundry,S19J
2023-01-18,0.0,0.0,penguin,foundry,S19J
2023-01-17,0.0,0.0,penguin,foundry,S19J
2023-01-16,0.0,0.0,penguin,foundry,S19J
2023-01-15,0.0,0.0,penguin,foundry,S19J
2023-01-14,0.0,0.0,penguin,foundry,S19J
2023-01-13,0.0,0.0,penguin,foundry,S19J
2023-01-12,0.0,0.0,penguin,foundry,S19J
2023-01-11,0.183571,0.00068611,penguin,foundry,S19J
2023-01-10,0.399942,0.00149047,penguin,foundry,S19J
2023-01-09,0.374123,0.00139545,penguin,foundry,S19J
2023-01-08,0.506316,0.0018804,penguin,foundry,S19J
2023-01-07,0.447427,0.00166438,penguin,foundry,S19J
2023-01-06,0.397049,0.00148135,penguin,foundry,S19J
2023-01-05,0.488659,0.00182825,penguin,foundry,S19J
2023-01-04,0.504401,0.00189084,penguin,foundry,S19J
2023-01-03,0.491554,0.00182582,penguin,foundry,S19J
2023-01-02,0.494237,0.0017730399999999998,penguin,foundry,S19J
2023-01-01,0.502211,0.00179859,penguin,foundry,S19J
2022-12-31,0.501925,0.00180675,penguin,foundry,S19J
2022-12-30,0.505195,0.0018357299999999998,penguin,foundry,S19J
2022-12-29,0.499905,0.0018188,penguin,foundry,S19J
2022-12-28,0.497412,0.0018032500000000002,penguin,foundry,S19J
2022-12-27,0.506069,0.00185892,penguin,foundry,S19J
2022-12-26,0.503619,0.00182946,penguin,foundry,S19J
2022-12-25,0.512415,0.0018501099999999999,penguin,foundry,S19J
2022-12-24,0.506121,0.00185644,penguin,foundry,S19J
2022-12-23,0.504088,0.0018299000000000002,penguin,foundry,S19J
2022-12-22,0.505104,0.0018322500000000001,penguin,foundry,S19J
2022-12-21,0.501521,0.0018160000000000001,penguin,foundry,S19J
2022-12-20,0.49941,0.00181215,penguin,foundry,S19J
2022-12-19,0.507233,0.00188009,penguin,foundry,S19J
2022-12-18,0.506642,0.00188391,penguin,foundry,S19J
2022-12-17,0.501156,0.00187718,penguin,foundry,S19J
2022-12-16,0.505795,0.00189489,penguin,foundry,S19J
2022-12-15,0.507554,0.00190713,penguin,foundry,S19J
2022-12-14,0.508555,0.0018976400000000001,penguin,foundry,S19J
2022-12-13,0.506538,0.0018836,penguin,foundry,S19J
2022-12-12,0.495644,0.00184543,penguin,foundry,S19J
2022-12-11,0.504818,0.00186997,penguin,foundry,S19J
2022-12-10,0.503501,0.00187216,penguin,foundry,S19J
2022-12-09,0.50672,0.00188736,penguin,foundry,S19J
2022-12-08,0.505964,0.00188413,penguin,foundry,S19J
2022-12-07,0.505052,0.0018859200000000001,penguin,foundry,S19J
2022-12-06,0.510721,0.00191441,penguin,foundry,S19J
2022-12-05,0.507932,0.0017687,penguin,foundry,S19J
2022-12-04,0.502498,0.00174282,penguin,foundry,S19J
2022-12-03,0.455753,0.00159446,penguin,foundry,S19J
2022-12-02,0.503019,0.0017746300000000001,penguin,foundry,S19J
2022-12-01,0.50487,0.00177055,penguin,foundry,S19J
2022-11-30,0.466728,0.0016380400000000001,penguin,foundry,S19J
2022-11-29,0.506186,0.00177125,penguin,foundry,S19J
2022-11-28,0.501234,0.00175055,penguin,foundry,S19J
2022-11-27,0.499097,0.00173376,penguin,foundry,S19J
2022-11-26,0.497246,0.0017506800000000001,penguin,foundry,S19J
2022-11-25,0.504961,0.0017786500000000001,penguin,foundry,S19J
2022-11-24,0.502081,0.0017676299999999999,penguin,foundry,S19J
2022-11-23,0.508883,0.00178823,penguin,foundry,S19J
2022-11-22,0.504752,0.00177589,penguin,foundry,S19J
2022-11-21,0.50728,0.00178038,penguin,foundry,S19J
2022-11-20,0.506082,0.00176651,penguin,foundry,S19J
2022-11-19,0.506003,0.00178152,penguin,foundry,S19J
2022-11-18,0.509678,0.00183085,penguin,foundry,S19J
2022-11-17,0.503358,0.00179045,penguin,foundry,S19J
2022-11-16,0.506173,0.0017967299999999999,penguin,foundry,S19J
2022-11-15,0.50096,0.00177752,penguin,foundry,S19J
2022-11-14,0.50212,0.0017683100000000002,penguin,foundry,S19J
2022-11-13,0.505365,0.00176345,penguin,foundry,S19J
2022-11-12,0.504609,0.00175253,penguin,foundry,S19J
2022-11-11,0.506355,0.00177711,penguin,foundry,S19J
2022-11-10,0.481697,0.00169107,penguin,foundry,S19J
2022-11-09,0.50487,0.00177297,penguin,foundry,S19J
2022-11-08,0.476359,0.00166416,penguin,foundry,S19J
2022-11-07,0.502185,0.00174773,penguin,foundry,S19J
